Company,City,County,State,yr built,cases_jul_17,date_first_case,_deaths,date_first_death,num_employees,num_tests,any_closure,flag?,close_date,reopen_date,meat_type,estnumber,line_speed_waiver,Sources,Notes,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link
AlaTrade Inc,Phenix City,Russell,Alabama,,4,5/11/2020,n/a,n/a,about 640,unclear,No,,n/a,n/a,poultry,P34453,,WRBL-TV,,https://www.wrbl.com/news/health/coronavirus/phenix-city-poultry-plant-puts-emphasis-on-cleanliness-sanitizing-during-covid-19-pandemic/,,,,,,,,,,,,,,,,,
American Foods Group,Green Bay,Brown,Wisconsin,,"170 employees, 27 people connected to employees; 1 of 14 affected plants w/ a total of 860 positive cases, per CDC",4/21/2020,n/a,n/a,1500,unclear,No,,n/a,n/a,beef,M410,,"Green Bay Press Gazette, Milwaukee Journal-Sentinel, AP, WBAY-TV, Centers for Disease Control and Prevention",,https://www.greenbaypressgazette.com/story/news/2020/04/20/green-bay-coronavirus-jbs-packing-american-foods-employees-infected/5165369002/,https://www.jsonline.com/story/news/2020/04/23/coronavirus-cases-linked-green-bay-meatpacking-plant-spike/3007750001/,https://www.greenbaypressgazette.com/story/news/2020/04/25/brown-county-coronavirus-how-cluster-covid-19-developed/3000721001/,https://apnews.com/b1503b5591c682530d1005e58ec8c267,https://www.wbay.com/content/news/More-Brown-County-COVID-19-cases-linked-to-outbreaks-at-meat-packing-facilities-570047781.html,https://www.cdc.gov/mmwr/volumes/69/wr/mm6927e2.htm?s_cid=mm6927e2_w,,,,,,,,,,,,
Amick Farms,Batesburg,Lexington,South Carolina,,"25; total of 125 in the state, per The State; 1 of 16 affected plants in state, per CDC",7/1/2020,n/a,n/a,unclear,unclear,No,,n/a,n/a,poultry,P7987,Yes,The State,"Amick Farms has about 2,600 employees in the state, per The State",https://www.thestate.com/news/coronavirus/article243904777.html,https://www.cdc.gov/mmwr/volumes/69/wr/mm6927e2.htm?s_cid=mm6927e2_w,http://www.twin-citynews.com/top-stories/local-plant-responds-to-worker-worries-amid-order-to-keep-producing/,,,,,,,,,,,,,,,
Aurora Packing Company,Aurora,DuPage,Illinois,,n/a,n/a,n/a,n/a,unclear,unclear,Yes,,4/12/2020,5/8/2020,beef,M788,,Reuters,,https://www.reuters.com/article/us-health-coronavirus-meat-factbox-idUSKCN21V09W?utm_campaign=trueAnthem%3A+Trending+Content&utm_medium=trueAnthem&utm_source=facebook,https://www.usda.gov/media/press-releases/2020/05/08/americas-meatpacking-facilities-practicing-safe-reopening-ensure,,,,,,,,,,,,,,,,
Bell & Evans,Fredericksburg,Lebanon,Pennsylvania,,"8, possibly ""dozens""; 1 of 30 affected plants w/ total of 1,169 positives in state, per CDC",,"3; 8 total in state, per CDC",4/28/2020,about 1800 across 2 plants,unclear,No,,n/a,n/a,poultry,P1304,,"Philadelphia Inquirer, Lebanon Daily News",,https://www.google.com/url?rct=j&sa=t&url=https://www.inquirer.com/business/coronavirus-bell-evans-chicken-deaths-covid-19--20200428.html&ct=ga&cd=CAEYBCoTMzI5NTkwMTA3NzQ4OTIxNzc3MzIaOGQwMzRhNWM1MGQzMTk4NDpjb206ZW46VVM&usg=AFQjCNFcnXMrz4otYuR3vqu4MAXIBIc0uQ,https://www.google.com/url?rct=j&sa=t&url=https://www.inquirer.com/business/coronavirus-bell-evans-chicken-deaths-covid-19--20200428.html&ct=ga&cd=CAEYBCoTMzI5NTkwMTA3NzQ4OTIxNzc3MzIaOGQwMzRhNWM1MGQzMTk4NDpjb206ZW46VVM&usg=AFQjCNFcnXMrz4otYuR3vqu4MAXIBIc0uQ,https://www.ldnews.com/story/news/2020/05/01/protesters-demand-bell-evans-chicken-plant-shut-down-after-two-deaths/3060170001/,https://www.inquirer.com/business/health/a/coronavirus-bell-evans-chicken-plant-latino-workers-pa-20200615.html,https://www.cdc.gov/mmwr/volumes/69/wr/mm6927e2.htm?s_cid=mm6927e2_w,https://www.bellandevans.com/news/covid19/,,,,,,,,,,,,
Boar's Head,Forrest City,St. Francis,Arkansas,,"2; total of 3,306 positive cases in state, per Arkansas Dept of Health",5/12/2020,n/a,n/a,unclear,unclear,No,,n/a,n/a,meat/poultry,M19575+P19575,,"Arkansas Democrat-Gazette, Arkansas Times, Arkansas Dept of Health",state health reports obtained by Heather Schlitz of Midwest Center,https://www.arkansasonline.com/news/2020/may/12/2-workers-forrest-city-meat-processing-plant-test-/,https://arktimes.com/arkansas-blog/2020/05/11/arkansas-poultry-workers-amid-the-coronavirus-were-not-essential-were-expendable,https://www.documentcloud.org/documents/6939504-Arkansas-Poultry-Covid-Clusters-Summary-6-5-2020.html,https://www.documentcloud.org/documents/6945186-Arkansas-Poultry-COVID-Summary-6-12-2020.html,https://www.documentcloud.org/documents/6982629-Arkansas-Poultry-COVID-Summary-7-6-2020.html,https://www.documentcloud.org/documents/6988953-Arkansas-7-13-20-Poultry-COVID-Summary-FINAL.html,,,,,,,,,,,,
Brakebush Bros,Irving,Dallas,Texas,,40,5/21/2020,n/a,n/a,750,unclear,No,,n/a,n/a,poultry,M20088+P20088+V20088,,Dallas Morning News,,https://www.dallasnews.com/news/public-health/2020/05/21/when-should-coronavirus-testing-be-provided-at-meat-and-poultry-plants/,,,,,,,,,,,,,,,,,
Brush Meat Processors,Brush,Morgan,Colorado,,5,5/29/2020,n/a,n/a,unclear,unclear,No,,n/a,n/a,meat,M44999 +V44999,,Colorado Dept of Public Health and Environment,,https://covid19.colorado.gov/data/outbreak-data,,,,,,,,,,,,,,,,,
Burgers Smokehouse,California,Moniteau,Missouri,,21,4/22/2020,n/a,n/a,unclear,unclear,Yes,,4/22/2020,4/30/2020,pork,M1161+P1161,,"AP, Burkers Smokehouse press release","h/t Sebastian Martinez, KBIA",https://apnews.com/5ac536a2684368531c48ee1be0719f7f,,,,,,,,,,,,,,,,,
Butterball,Huntsville,Madison,Arkansas,,"151; total of 3,306 positive cases in state, per Arkansas Dept of Health",5/30/2020,n/a,n/a,unclear,unclear,No,,n/a,n/a,poultry,P7174,,"Arkansas Democrat-Gazette, Arkansas Department of Health",state health reports obtained by Heather Schlitz of Midwest Center,https://www.arkansasonline.com/news/2020/may/30/coronavirus-cases-at-meat-plants-rise-d/?news-arkansas-nwa,https://www.documentcloud.org/documents/6939504-Arkansas-Poultry-Covid-Clusters-Summary-6-5-2020.html,https://www.documentcloud.org/documents/6945186-Arkansas-Poultry-COVID-Summary-6-12-2020.html,https://www.documentcloud.org/documents/6982629-Arkansas-Poultry-COVID-Summary-7-6-2020.html,https://www.documentcloud.org/documents/6988953-Arkansas-7-13-20-Poultry-COVID-Summary-FINAL.html,,,,,,,,,,,,,
