State,Stay at home order?,Dates,Date on,Date off,"Enforcement, penalties",Dates for reopenings,Masks required statewide?
Alabama,Yes,April 4 - April 30,4/4/2020,5/1/2020,Not mentioned.,"Alabama has reopened retail stores, dining, personal care services, houses of worship, entertainment venues, childcare facilities, outdoor recreation, and summer camps. Non-essential medical procedures resumed April 30. June 1: Educational institutions reopened. June 30: Due to an increase in infections, the governor has extended guidelines through July 31.",No
Alaska,Yes,March 28 - April 21,3/28/2020,4/22/2020,"A business or organization that fails to cease operation can receive a civil fine up to $1,000/violation. A person or organization that fails to follow state COVID-19 mandates may be criminally prosecuted for reckless endangerment (Class A misdemeanor) pursuant to Alaska Statute 11.41.250. A person may be fined up to $25,000 for a Class A misdemeanor, and a business may be sentenced to pay $2.5 million for a misdemeanor offense that results in death, or $500,000 for a Class A misdemeanor offense that does not result in death.","Alaska has reopened retail stores, dining, bars, personal care services, houses of worship, libraries, theaters, bowling alleys, museums, gyms, and pools. Non-essential medical procedures resumed May 4.",No
Arizona,Yes,March 31 - May 15,3/31/2020,5/15/2020,"Prior to any enforcement action, individuals must be notified and given an opportunity to comply. Under statutes regulating the governor's emergency powers, the governor has ""the right to exercise, within the area designated, all police power vested in the state.""","Arizona has reopened retail stores, restaurant dining, personal care services, houses of worship, casinos, pools, gyms, and spas. Non-essential medical procedures resumed May 1. June 25: Due to an increase in infections, the governor urged people to stay home. June 29: The governor closed all bars, gyms, movie theaters, water parks, and tubing rentals for at least a month.",No
Arkansas,No,,,,,"Arkansas never issued a stay-at-home order and instead closed high-contact businesses. Gyms and athletic facilities, restaurants, retail, houses of worship, theaters, stadiums, museums, bowling alleys, casinos and large venues have reopened. Non-essential medical procedures resumed April 27. June 1: High school and community teams can resume skill training. June 15: Large indoor venues can have up to 100 people and businesses can increase capacity to 66%. June 26: Due to an increase in infections, the governor said he will not ease additional restrictions on businesses.",No
California,Yes,March 19 - until lifted.,3/19/2020,,"Executive Order is enforceable under California Government Code section 8665. Any person that refuses or willfully neglects to obey an order shall be guilty of a misdemeanor and can be punished by a fine up to $1,000 or by 6 months imprisonment.","Most counties have reopened restaurants and personal care services. Counties can move into the second stage of reopening if they file an application with the state. Non-essential medical procedures resumed April 22. June 28: Due to a resurgence of infections, the governor ordered bars closed in seven counties, including Los Angeles. July 1: The governor ordered indoor service for restaurants, bars, movie theaters, museums, and zoos to close immediately in 19 counties.",Yes – required in public indoor spaces.
Colorado,Yes,March 26 - April 26,3/26/2020,4/26/2020,"Gives local authorities discretion to determine the best course of action to encourage maximum compliance. Failure to comply with this order could result in penalties up to $1,000 and imprisonment for up to one year.","Colorado has reopened retail stores, restaurant dining, bars, personal care services, houses of worship, museums, indoor events, fairs, rodeos, concerts, outdoor events, campgrounds, pools, playgrounds, gyms, offices and manufacturing. Non-essential medical procedures resumed April 27. June 30: Due to the risk of transmitting the virus in indoor spaces, the Department of Public Health and Environment announced that bars and nightclubs will close for in-person service.",No
Connecticut,Yes,March 23 - May 20,3/23/2020,5/20/2020,Not mentioned.,"Connecticut has reopened retail stores, malls, restaurant dining, personal care services, houses of worship, museums, zoos, casinos, movie theaters, libraries, amusement parks, bowling alleys, beaches, gyms, and offices. Non-essential medical procedures resumed May 20. June 1: Hair salons and barber shops reopened. June 20: Gyms, hotels, personal services, indoor restaurants excluding bars, educational and community services including selected youth sports, all summer day camps, K-12 summer school could reopen.",Yes – required in public wherever close contact is unavoidable.
Delaware,Yes,March 24 - May 31,3/24/2020,5/31/2020,Failure to comply with a declaration of a state of emergency is a criminal offense under 20 Del. C. §§ 3115 (b); 3116 (9); 3122; 3125. State and local law enforcement are authorized to enforce the provisions of any state of emergency declaration.,"Delaware has reopened retail stores, malls, farmers’ markets, personal care services, restaurants, breweries, bars, houses of worship, museums, libraries, casinos, beaches, gyms, pools, and campgrounds. Non-essential medical procedures resumed May 19. June 1: Restaurants, retail establishments, malls, exercise facilities, hair salons, barber shops, and casinos reopened at 30% capacity. Houses of worship reopened with a 10-person limit. June 15: Retail establishments, restaurants, and other businesses could increase capacity to 60%. June 25: Due to an increase in cases, the governor froze the state’s reopening plan. Phase 3, which was supposed to start July 29, has been delayed.",Yes – required when in public.
District of Columbia,Yes,April 1 - May 15,4/1/2020,5/15/2020,"Any individual or entity that knowingly violates the order shall be subject to all civil, criminal, and administrative penalties authorized by law, including $1,000 fines, summary suspension or revocation of business licensure. Any individual who willfully violates the order may be guilty of a misdemeanor and subject to a fine not exceeding $5,000 or imprisonment for not more than 90 days. An officer or employee of the District of Columbia government that violates this Order or any related personnel issuance shall be subject to appropriate administrative discipline, including suspension from duty without pay or removal from office.","Washington, DC has reopened restaurants with outdoor seating, barbershops, hair salons, personal care services, and houses of worship. June 22: Restaurants reopened indoor dining up to 50% capacity. Retail, camps, swimming pools, gyms, tanning salons, and tattoo parlors reopened. Worship services could begin with up to 50 people.",Yes – required when conducting essential business or travel and social distancing isn’t possible.
Florida,Yes,April 3 - April 30 (extended to June 12 for the elderly and those with medical conditions,4/3/2020,4/30/2020,Not mentioned.,"Florida has reopened retail stores, restaurants, bars, houses of worship, gyms, movie theaters, bowling alleys, concert and sporting venues, and beaches. Non-essential medical procedures resumed May 4. June 1: Florida Keys businesses reopened to visitors, and Miami-Dade County beaches and hotels reopened. June 5: Bars, movie theaters, bowling alleys, and concert venues reopened at 50% capacity. Gyms and retail businesses could open at full capacity. June 26: Due to a resurgence in infections, the governor ordered all bars closed due to noncompliance with opening guidelines. June 29: Broward, Palm Beach, and Miami-Dade counties announced that beaches were closed over the July 4 weekend.",No
